,id_movie,department,gender,job,name,id
1293,8391,Directing,1,Director,Patricia Rozema,55439
1301,629,Directing,2,Director,Bryan Singer,9032
1365,117164,Directing,2,Director,Richard W. Munchkin,100505
1368,11448,Directing,2,Director,Woody Allen,1243
1396,49133,Directing,2,Director,Gianni Amelio,128107
1400,26441,Directing,1,Director,Holly Goldberg Sloan,71338
1402,97406,Directing,2,Director,Ulu Grosbard,140354
1404,124057,Directing,2,Director,Robert Tinnell,30586
1407,9089,Directing,1,Director,Jodie Foster,1038
1424,11010,Directing,2,Director,Michael Radford,28898
1434,99040,Directing,2,Director,Robert Lepage,38527
1436,11359,Directing,2,Director,Frank Oz,7908
1446,17182,Directing,2,Director,John Schlesinger,19304
1474,2054,Directing,2,Director,Stephen Herek,18356
1531,10607,Directing,2,Director,Paris Barclay,45649
1543,19760,Directing,2,Director,Bill Bennett,49361
1554,9536,Directing,2,Director,Jason Bloom,57870
1555,11525,Directing,2,Director,Farhad Mann,69721
1569,40628,Directing,2,Director,James Foley,15890
1573,4482,Directing,1,Director,Josiane Balasko,35137
1578,10634,Directing,2,Director,F. Gary Gray,37932
1583,755,Directing,2,Director,Robert Rodriguez,2294
1700,11859,Directing,2,Director,Andrew Sipes,70850
1714,28387,Directing,2,Director,Noah Baumbach,5656
1718,48750,Directing,2,Director,Claude Lelouch,16862
1721,20927,Directing,2,Director,Michael Goldenberg,10296
1902,36929,Directing,2,Director,Steve Miner,58712
1909,9102,Directing,2,Director,Christian Duguay,25735
1940,124626,Directing,0,Director,Susanne Ofteringer,1080309
1947,27526,Directing,2,Director,Sean Penn,2228
1957,9623,Directing,2,Director,Brian Gibson,18069
1968,46785,Directing,2,Director,Jafar Panahi,120229
1969,400,Directing,2,Director,Gary Fleder,5501
1977,880,Directing,0,Director,Marleen Gorris,13496
1986,146599,Directing,2,Director,Tim Reid,27771
1989,188588,Directing,2,Director,Henry Jaglom,117075
1990,8447,Directing,0,Director,Philip Haas,55038
2018,10534,Directing,2,Director,Ridley Scott,578
2028,17414,Directing,0,Director,Ken Kwapis,29009
2035,13997,Directing,0,Director,Penelope Spheeris,58448
2037,2086,Directing,2,Director,John Badham,12840
2056,61548,Directing,2,Director,John Duigan,72624
2064,9095,Directing,0,Director,Stephen Frears,3224
2073,12158,Directing,2,Director,Wes Craven,5140
2084,9283,Directing,2,Director,Ted Demme,34849
2132,9208,Directing,2,Director,John Woo,11401
2137,40154,Directing,2,Director,Kenneth Branagh,11181
2143,406,Directing,2,Director,Mathieu Kassovitz,2406
2167,45549,Directing,2,Director,Paul W.S. Anderson,4014
2170,63076,Directing,2,Director,Nick Broomfield,92561
2177,11062,Directing,2,Director,Harold Becker,23213
2182,13685,Directing,2,Director,Wes Anderson,5655
2200,47475,Directing,2,Director,Nick Castle,14692
2205,2045,Directing,2,Director,John Dahl,21053
2209,9614,Directing,2,Director,Dennis Dugan,17494
2219,688,Directing,2,Director,Clint Eastwood,190
2232,11907,Directing,1,Director,Doris Dörrie,18969
2239,10874,Directing,2,Director,Brian Henson,65298
2247,89333,Directing,0,Director,Robert Leacock,64077
2249,96357,Directing,0,Director,James Bruce,1234226
2255,197,Directing,2,Director,Mel Gibson,2461
2321,103,Directing,2,Director,Martin Scorsese,1032
2367,33542,Directing,2,Director,Stanley Tong,44916
2371,43566,Directing,2,Director,Barbet Schroeder,23393
2381,71754,Directing,2,Director,Mort Ransen,184475
2404,43612,Directing,2,Director,Étienne Chatiliez,20849
2413,51352,Directing,0,Director,Jon Blair,82293
2416,16934,Directing,0,Director,Benjamin Ross,81020
2426,10324,Directing,2,Director,Eric Schaeffer,68185
2430,78406,Directing,2,Director,Andrew Davis,12989
2434,55731,Directing,2,Director,Charles T. Kanganis,36147
2436,32119,Directing,2,Director,John N. Smith,60295
2442,11066,Directing,2,Director,Reginald Hudlin,68215
2443,11104,Directing,2,Director,Wong Kar-wai,12453
2456,37975,Directing,0,Director,Giuseppe Tornatore,65314
2460,2074,Directing,2,Director,David O. Russell,17883
2475,27793,Directing,2,Director,Peter MacDonald,16589
2493,44284,Directing,0,Director,Moufida Tlatli,239321
2507,290157,Directing,0,Director,Michel Negroponte,93632
2509,110972,Directing,2,Director,Bryan Gordon,122583
2536,32622,Directing,1,Director,Rebecca Miller,41670
2550,73067,Directing,2,Director,Michael Lindsay-Hogg,125543
2557,11863,Directing,0,Director,William Friedkin,15175
2563,55475,Directing,2,Director,Ángel Muñiz,114997
2565,124636,Directing,0,Director,Craig Baldwin,84445
2574,9101,Directing,2,Director,David S. Ward,12920
2595,123360,Directing,0,Director,Mark Rappaport,1077999
2602,5757,Directing,2,Director,Dirk Shafer,45382
2609,39428,Directing,2,Director,Terence Davies,93911
2613,124639,Directing,0,Director,Sandip Ray,1080311
2618,9302,Directing,2,Director,Jon Avnet,18250
2622,11000,Directing,2,Director,Mike Nichols,5342
2628,249882,Directing,0,Director,Jakov Sedlar,1285121
2632,16388,Directing,2,Director,Edward Burns,12833
2641,9737,Directing,2,Director,Michael Bay,865
2658,30765,Directing,2,Director,Christopher Cain,56828
2661,10474,Directing,2,Director,Scott Kalvert,65390
2672,22279,Directing,2,Director,Mike Newell,10723
2700,30157,Directing,2,Director,Hal Hartley,91343
2727,568,Directing,2,Director,Ron Howard,6159
2827,11780,Directing,2,Director,Michael Caton-Jones,30365
2837,34996,Directing,2,Director,Abel Ferrara,39104
2843,414,Directing,2,Director,Joel Schumacher,5572
2943,649,Directing,2,Director,Luis Buñuel,793
2966,1873,Directing,2,Director,John Boorman,19665
2981,5894,Directing,2,Director,Paul Auster,46391
2983,5894,Directing,0,Director,Wayne Wang,39819
3000,1775,Directing,2,Director,Michael Moore,17087
3012,8839,Directing,0,Director,Brad Silberling,11887
3034,20649,Directing,2,Director,Spike Lee,5281
3039,10329,Directing,2,Director,Frank Marshall,664
3046,8963,Directing,2,Director,Tony Scott,893
3079,26564,Directing,0,Director,Terry Zwigoff,17447
3086,8068,Directing,2,Director,Robert Rodriguez,2294
3109,8512,Directing,0,Director,Carl Franklin,21712
3116,1572,Directing,2,Director,John McTiernan,1090
3163,13552,Directing,2,Director,Gregg Araki,19224
3175,259209,Directing,2,Director,Christopher Menaul,68774
3195,6520,Directing,2,Director,Jerry Zucker,3415
3220,9073,Directing,0,Director,Dwight H. Little,56998
3222,10428,Directing,2,Director,Iain Softley,1978
3255,17447,Directing,2,Director,Christopher Ashley,252806
3267,9886,Directing,2,Director,Robert Longo,59997
3270,9482,Directing,2,Director,Danny Cannon,33279
3292,19326,Directing,2,Director,John Fortenberry,58316
3304,9344,Directing,2,Director,Larry Clark,51917
3311,9071,Directing,2,Director,Tom DiCillo,6400
3312,8973,Directing,2,Director,Clive Barker,31211
3323,15730,Directing,2,Director,Denys Arcand,38516
3327,47608,Directing,1,Director,Antonia Bird,42617
3337,2293,Directing,2,Director,Kevin Smith,19303
3351,9070,Directing,2,Director,Bryan Spicer,42111
3355,68274,Directing,2,Director,David Anspaugh,44847
3358,48787,Directing,2,Director,Anthony Waller,58384
3372,34574,Directing,2,Director,Michael Almereyda,54469
3382,1642,Directing,2,Director,Irwin Winkler,11472
3395,11472,Directing,2,Director,Chris Columbus,10965
3426,36196,Directing,1,Director,Daisy von Scherler Mayer,56714
3446,11980,Directing,2,Director,Gregory Widen,28902
3451,58372,Directing,2,Director,Norman René,26487
3467,32646,Directing,2,Director,Todd Haynes,16863
3476,10533,Directing,0,Director,Roland Joffé,8965
3489,10802,Directing,2,Director,Paul Verhoeven,10491
3498,10149,Directing,0,Director,Wayne Wang,39819
3499,10149,Directing,2,Director,Paul Auster,46391
3508,18402,Directing,2,Director,Lasse Hallström,5306
3517,9348,Directing,2,Director,Roger Donaldson,21370
3554,139408,Directing,2,Director,James Keach,408
3563,281,Directing,1,Director,Kathryn Bigelow,14392
3573,5967,Directing,0,Director,Jacques Demy,24882
3583,79593,Directing,2,Director,Wesley Strick,17880
3611,47939,Directing,1,Director,Martha Coolidge,63713
3616,36834,Directing,1,Director,Agnieszka Holland,1128
3625,9090,Directing,1,Director,Beeban Kidron,20237
3641,3512,Directing,2,Director,Geoff Murphy,32277
3662,52856,Directing,1,Director,Diane Keaton,3092
3663,77350,Directing,2,Director,Douglas Keeve,588623
3664,9560,Directing,2,Director,Alfonso Aráu,22767
3778,9804,Directing,0,Director,Kevin Reynolds,8300
3838,31611,Directing,0,Director,Desmond Nakano,73494
3840,65796,Directing,2,Director,Walter Hill,1723
3842,49805,Directing,2,Director,Mike Figgis,6111
3845,26258,Directing,2,Director,Greg Beeman,17309
3850,50797,Directing,2,Director,Nikita Mikhalkov,82796
3906,19155,Directing,0,Director,Milčo Mančevski,1364800
3925,76,Directing,2,Director,Richard Linklater,564
3937,11017,Directing,1,Director,Tamra Davis,57691
3968,37141,Directing,2,Director,Guy Ferland,43468
3970,9382,Directing,0,Director,Herbert Ross,18378
3982,6715,Directing,2,Director,Peter Horton,44990
3987,18256,Directing,2,Director,Stuart Gordon,27991
4014,22625,Directing,2,Director,Pat O'Connor,19969
4048,2292,Directing,2,Director,Kevin Smith,19303
4054,1909,Directing,2,Director,Jeremy Leven,25210
4066,8984,Directing,2,Director,Barry Levinson,8246
4072,61813,Directing,0,Director,René Bonnière,225065
4077,4954,Directing,2,Director,John Badham,12840
4094,62488,Directing,2,Director,Jack Baran,58154
4095,10531,Directing,2,Director,Roman Polanski,3556
4122,11929,Directing,0,Director,Taylor Hackford,18596
4138,8467,Directing,2,Director,Peter Farrelly,7396
4156,8467,Directing,2,Director,Bobby Farrelly,7395
4223,10451,Directing,2,Director,Ang Lee,1614
4232,20156,Directing,2,Director,Atom Egoyan,56205
4234,18395,Directing,2,Director,Garry Marshall,1201
4251,522,Directing,2,Director,Tim Burton,510
4303,397,Directing,2,Director,Lawrence Kasdan,8844
4310,10525,Directing,2,Director,Billy Crystal,7904
4319,27985,Directing,0,Director,Phillip Borsos,148119
4323,15789,Directing,2,Director,Kevin Lima,15775
4328,15789,Directing,0,Director,Paul Brizzi,56147
4344,27303,Directing,0,Director,Brett Leonard,57090
4348,21183,Directing,2,Director,Carlo Carlei,87695
4366,10954,Directing,0,Director,Gérard Corbiau,67794
4370,47867,Directing,0,Director,Mark Lewis,1566166
4371,43475,Directing,0,Director,Art Clokey,129534
4374,72031,Directing,2,Director,Charles Burnett,97755
4390,14275,Directing,2,Director,Steve James,122449
4399,1024,Directing,2,Director,Peter Jackson,108
4403,17207,Directing,2,Director,Randall Miller,77121
4407,13701,Directing,2,Director,Bernard Rose,57851
4409,14819,Directing,2,Director,Steven Brill,32593
4412,32631,Directing,2,Director,J. F. Lawton,1203
4421,11777,Directing,2,Director,Fred Schepisi,64061
4441,628,Directing,0,Director,Neil Jordan,17016
4442,87729,Directing,2,Director,James Ivory,54441
4446,18713,Directing,0,Director,James Melkonian,73668
4447,6280,Directing,2,Director,Ivan Reitman,8858
4456,9061,Directing,0,Director,Arne Glimcher,56872
4487,37108,Directing,2,Director,Michael Gottlieb,62043
4488,6071,Directing,2,Director,Barbet Schroeder,23393
4495,11,Directing,2,Director,George Lucas,1
4515,9587,Directing,1,Director,Gillian Armstrong,58094
4561,19101,Directing,2,Director,Alfonso Cuarón,11218
4593,49980,Directing,2,Director,Ken Loach,15488
4597,17961,Directing,0,Director,Claude Chabrol,19069
4604,18183,Directing,2,Director,Alfonso Aráu,22767
4641,4476,Directing,2,Director,Edward Zwick,9181
4653,11008,Directing,2,Director,Nick Castle,14692
4670,47504,Directing,2,Director,James Gray,20561
4680,32325,Directing,1,Director,Allison Anders,3110
4688,43742,Directing,2,Director,Glenn Gordon Caron,58463
4724,28313,Directing,2,Director,Stephen Gyllenhaal,15912
4730,11318,Directing,2,Director,Nicholas Hytner,55476
4740,3036,Directing,2,Director,Kenneth Branagh,11181
4747,40490,Directing,2,Director,James Orr,27444
4760,24070,Directing,0,Director,Nora Ephron,9248
4771,8986,Directing,2,Director,Richard Benjamin,24318
4780,10510,Directing,0,Director,Les Mayfield,56911
4789,17402,Directing,2,Director,David Frankel,5065
4791,38722,Directing,2,Director,Gregory Nava,16395
4794,8438,Directing,2,Director,Marc Rocco,54971
4807,11593,Directing,2,Director,Robert Benton,6729
4825,1945,Directing,2,Director,Michael Apted,10781
4833,39310,Directing,2,Director,Nick Gomez,17278
4838,109560,Directing,2,Director,Tōru Murakawa,129957
4841,56428,Directing,2,Director,Vadim Jean,70905
4845,63105,Directing,2,Director,Albert Pyun,63937
4848,131957,Directing,2,Director,Alan Jacobs,131792
4855,241,Directing,2,Director,Oliver Stone,1152
4870,9058,Directing,2,Director,Norman Jewison,13563
4878,527,Directing,2,Director,Lee Tamahori,7256
4890,18220,Directing,1,Director,Anne Goursaud,2873
4892,6950,Directing,2,Director,Wolfgang Petersen,5231
4905,101,Directing,2,Director,Luc Besson,59
4924,63020,Directing,1,Director,Mira Nair,6495
4943,2307,Directing,2,Director,Joshua Brand,23757
4957,680,Directing,2,Director,Quentin Tarantino,138
5044,41478,Directing,2,Director,Mario Van Peebles,16214
5047,25296,Directing,2,Director,Ang Lee,1614
5051,40156,Directing,1,Director,Antonia Bird,42617
5062,11450,Directing,2,Director,Robert Redford,4135
5093,30304,Directing,0,Director,Kayo Hatta,994323
5149,10452,Directing,2,Director,Patrice Chéreau,23724
5161,12106,Directing,2,Director,Sam Raimi,7623
5168,161495,Directing,2,Director,Peter Yates,12804
5169,3586,Directing,2,Director,Robert Altman,9789
5184,110,Directing,2,Director,Krzysztof Kieślowski,1126
5197,108,Directing,2,Director,Krzysztof Kieślowski,1126
5208,109,Directing,2,Director,Krzysztof Kieślowski,1126
5216,159185,Directing,2,Director,He Ping,77305
5222,36357,Directing,2,Director,Fred Gerber,45642
5224,92769,Directing,2,Director,George Mihalka,133793
5225,28033,Directing,2,Director,Harold Ramis,1524
5241,22586,Directing,2,Director,Richard Rich,107274
5304,14334,Directing,2,Director,John Sayles,102445
5322,2636,Directing,2,Director,Luis Llosa,26648
5338,2164,Directing,2,Director,Roland Emmerich,6046
5372,11395,Directing,2,Director,John Pasquin,58072
5374,278,Directing,2,Director,Frank Darabont,4027
5464,9905,Directing,2,Director,Danny Boyle,2034
5480,87078,Directing,2,Director,Scott McGehee,101444
5481,87078,Directing,2,Director,David Siegel,101446
5511,12527,Directing,0,Director,Tomás Gutiérrez Alea,72646
5512,12527,Directing,2,Director,Juan Carlos Tabío,72647
5523,20306,Directing,2,Director,George Huang,57028
5526,36614,Directing,2,Director,Kevin Dowling,91499
5527,36614,Directing,2,Director,Geoff Burton,72629
5529,27993,Directing,2,Director,Kelly Makin,64030
5534,31439,Directing,2,Director,Zhang Yimou,607
5536,9067,Directing,1,Director,Rachel Talalay,56891
5546,9059,Directing,2,Director,Ernest R. Dickerson,15521
5567,193,Directing,2,Director,David Carson,2380
5582,25066,Directing,2,Director,Rusty Cundieff,141825
5593,46797,Directing,2,Director,Brian Gilbert,58080
5597,12122,Directing,2,Director,John Carpenter,11770
5609,11381,Directing,2,Director,Peter Segal,13426
5615,32636,Directing,2,Director,Louis Malle,15389
5625,36141,Directing,2,Director,Steven Soderbergh,1884
5647,95963,Directing,2,Director,Preston A. Whitmore II,76705
5649,1587,Directing,2,Director,Lasse Hallström,5306
5652,9271,Directing,0,Director,Brett Leonard,57090
5663,2064,Directing,2,Director,Jon Turteltaub,12962
5668,19855,Directing,2,Director,Jon Avnet,18250
5675,60855,Directing,0,Director,Mina Shum,1230367
5702,236,Directing,2,Director,P.J. Hogan,3045
5714,48287,Directing,1,Director,Melanie Mayron,83313
5716,3049,Directing,2,Director,Tom Shadyac,4499
5728,2759,Directing,2,Director,Stephan Elliott,27889
5735,12635,Directing,2,Director,Iain Softley,1978
5745,10497,Directing,2,Director,Roman Polanski,3556
5778,11382,Directing,2,Director,Woody Allen,1243
5792,9331,Directing,2,Director,Phillip Noyce,13015
5871,10731,Directing,2,Director,Joel Schumacher,5572
5887,10464,Directing,1,Director,Jessie Nelson,16853
5897,34152,Directing,2,Director,Spike Lee,5281
5909,9495,Directing,2,Director,Alex Proyas,21085
5925,29973,Directing,2,Director,Ron Shelton,4037
5959,888,Directing,2,Director,Brian Levant,13581
5960,13,Directing,2,Director,Robert Zemeckis,24
6091,712,Directing,2,Director,Mike Newell,10723
6104,16295,Directing,2,Director,John Singleton,6482
6114,48992,Directing,1,Director,Darnell Martin,81727
6117,10879,Directing,2,Director,Charles Shyer,56106
6146,10660,Directing,0,Director,Andrew Bergman,41550
6149,10714,Directing,2,Director,Stephen Sommers,7775
6165,41647,Directing,0,Director,Ray Müller,226963
6176,8587,Directing,2,Director,Roger Allers,15812
6178,8587,Directing,2,Director,Rob Minkoff,18898
6206,1689,Directing,2,Director,Bernardo Bertolucci,4956
6214,11596,Directing,2,Director,Wes Craven,5140
6257,854,Directing,2,Director,Chuck Russell,26713
6267,9359,Directing,2,Director,Richard Donner,7187
6273,23333,Directing,2,Director,Alan Rudolph,72427
6279,36593,Directing,2,Director,Peter Segal,13426
6295,12280,Directing,2,Director,Ron Howard,6159
6303,2788,Directing,2,Director,Ben Stiller,7399
6320,10427,Directing,2,Director,John Dahl,21053
6328,11011,Directing,2,Director,Donald Petrie,18281
6341,49803,Directing,2,Director,Robert Allan Ackerman,83588
6343,8987,Directing,2,Director,Curtis Hanson,323
6350,1637,Directing,2,Director,Jan de Bont,2209
6361,15128,Directing,2,Director,Ron Underwood,33485
6363,8831,Directing,2,Director,Peter Hyams,37710
6382,36955,Directing,2,Director,James Cameron,2710
6406,10449,Directing,0,Director,Luis Mandoki,46085
6420,10395,Directing,2,Director,Mike Nichols,5342
6448,12160,Directing,2,Director,Lawrence Kasdan,8844
6466,40480,Directing,2,Director,Damian Harris,42301
6468,52038,Directing,2,Director,Suri Krishnamma,158634
6499,29444,Directing,2,Director,Jefery Levy,72125
6505,26352,Directing,2,Director,Keenen Ivory Wayans,35689
6507,39953,Directing,2,Director,Robert Lee King,133183
6509,39953,Directing,2,Director,Brian Sloan,1066114
6511,39953,Directing,0,Director,Raoul O'Connell,1087439
6516,41580,Directing,0,Director,Yves Angelo,234793
6517,315,Directing,0,Director,Russ Meyer,4590
6526,22067,Directing,2,Director,Doug McHenry,67896
6528,18242,Directing,2,Director,Dave Borthwick,80537
6530,11667,Directing,2,Director,Steven E. de Souza,1726
6548,32502,Directing,2,Director,Wallace Wolodarsky,486
6549,267188,Directing,2,Director,Michael A. Nickles,126837
6551,28732,Directing,2,Director,Paul Warner,1142481
6554,75555,Directing,0,Director,Vincent Robert,532207
6565,42981,Directing,2,Director,Theodore Thomas,129216
6566,278939,Directing,0,Director,Lucas Platt,1382436
6571,291731,Directing,0,Director,Ross Kagan Marks,1385254
6572,226229,Directing,0,Director,Paul Williams,220152
6573,203119,Directing,2,Director,Robert Wuhl,4040
6575,172923,Directing,2,Director,Roberto Sneider,16401
6576,316098,Directing,0,Director,Jack Baxter,223910
6577,316098,Directing,0,Director,Jefri Aalmuhammed,1410160
6578,8011,Directing,2,Director,Andrew Morahan,53599
6583,171857,Directing,2,Director,Michael Corrente,77076
6586,2654,Directing,2,Director,John Carpenter,11770
6598,18069,Directing,2,Director,John G. Avildsen,16513
6599,19092,Directing,2,Director,Jeff Pollack,88060
6600,2758,Directing,2,Director,Barry Sonnenfeld,5174
6614,38129,Directing,2,Director,Thomas Schlamme,15106
6616,10436,Directing,2,Director,Martin Scorsese,1032
6630,13595,Directing,2,Director,Michael Lehmann,7145
6640,46094,Directing,2,Director,Paul Michael Glaser,12988
6669,9409,Directing,2,Director,John Badham,12840
6672,11853,Directing,2,Director,Jonathan Kaplan,42171
6676,16771,Directing,2,Director,Whit Stillman,78188
6678,46924,Directing,2,Director,Bill Forsyth,68687
6690,11041,Directing,0,Director,Penelope Spheeris,58448
6706,306,Directing,2,Director,John Landis,4610
6714,14522,Directing,1,Director,Caroline Thompson,1901
6730,26203,Directing,2,Director,Michael Apted,10781
6731,178,Directing,2,Director,Stephen Hopkins,2042
6745,19819,Directing,0,Director,William Friedkin,15175
6761,57834,Directing,2,Director,Tony Richardson,32765
6776,4722,Directing,2,Director,Abel Ferrara,39104
6792,18215,Directing,1,Director,Jennifer Chambers Lynch,14800
6808,1607,Directing,2,Director,Robert De Niro,380
6853,26391,Directing,2,Director,Adam Resnick,57107
6857,117553,Directing,2,Director,John Whitesell,61175
6861,6075,Directing,2,Director,Brian De Palma,1150
6903,11310,Directing,2,Director,Paul Weiland,66548
6908,18658,Directing,2,Director,Mick Jackson,8843
6925,9350,Directing,2,Director,Renny Harlin,16938
6944,9612,Directing,2,Director,Steve Barron,18308
6956,2124,Directing,2,Director,Richard Rush,21806
6967,26261,Directing,2,Director,Michael Ritchie,12964
6969,19176,Directing,2,Director,Gregg Champion,27236
6988,49299,Directing,2,Director,Abel Ferrara,39104
6990,11566,Directing,2,Director,Ivan Reitman,8858
7017,9571,Directing,2,Director,Richard Linklater,564
7054,9739,Directing,2,Director,Marco Brambilla,58838
7148,24257,Directing,2,Director,Bruce Brown,86
7149,34444,Directing,2,Director,Gus Van Sant,5216
7172,26141,Directing,2,Director,Carl Reiner,1895
7180,10997,Directing,2,Director,Chen Kaige,20640
7185,50463,Directing,2,Director,Donald Petrie,18281
7203,10443,Directing,2,Director,Peter Weir,2690
7226,20239,Directing,2,Director,Rusty Cundieff,141825
7236,16297,Directing,2,Director,Alek Keshishian,50949
7240,18551,Directing,2,Director,Steve Kloves,10967
7242,25440,Directing,2,Director,John Irvin,17784
7248,9024,Directing,2,Director,Barry Sonnenfeld,5174
7258,37233,Directing,2,Director,Sydney Pollack,2226
7283,1634,Directing,0,Director,Simon Wincer,18254
7299,13815,Directing,2,Director,Boaz Yakin,52358
7307,5503,Directing,2,Director,Andrew Davis,12989
7338,35588,Directing,2,Director,Walter Hill,1723
7388,2087,Directing,2,Director,Roger Donaldson,21370
7403,41579,Directing,2,Director,Howard Deutch,26502
7404,18620,Directing,1,Director,Rose Troche,172993
7415,41006,Directing,2,Director,Bruce Beresford,5696
7417,4916,Directing,2,Director,Sidney Lumet,39996
7423,2019,Directing,2,Director,John Woo,11401
7466,31642,Directing,2,Director,Oliver Stone,1152
7477,9255,Directing,2,Director,Jim Abrahams,12936
7486,26271,Directing,0,Director,Julianna Lavin,94996
7503,10612,Directing,2,Director,Christopher Monger,65859
7540,2259,Directing,2,Director,Bille August,19684
7555,16097,Directing,2,Director,Eric Meza,77733
7559,11934,Directing,0,Director,Joel Coen,1223
7567,106143,Directing,2,Director,James L. Brooks,3388
7582,12475,Directing,2,Director,"Daniel Petrie, Jr.",774
7615,9386,Directing,2,Director,Wolfgang Petersen,5231
7670,7984,Directing,2,Director,Jim Sheridan,53334
7705,59930,Directing,2,Director,Matty Rich,230059
7706,15765,Directing,2,Director,Brian Gibson,18069
7709,31643,Directing,2,Director,Barry Levinson,8246
7713,6,Directing,2,Director,Stephen Hopkins,2042
7729,329,Directing,2,Director,Steven Spielberg,488
7861,10909,Directing,2,Director,Dominic Sena,58498
7889,507,Directing,2,Director,Roger Avary,8297
7894,34024,Directing,2,Director,Steven Soderbergh,1884
7899,29918,Directing,2,Director,Daniel Petrie,40549
7911,9593,Directing,2,Director,John McTiernan,1090
7999,42580,Directing,2,Director,James Lapine,90037
8002,22317,Directing,0,Director,Simon Wincer,18254
8003,22317,Directing,2,Director,Paul Hogan,57147
8005,22317,Directing,2,Director,Greg Coote,71192
8009,1413,Directing,2,Director,David Cronenberg,224
8022,12121,Directing,2,Director,Richard Benjamin,24318
8030,2246,Directing,2,Director,Harold Becker,23213
8045,10502,Directing,2,Director,Mel Gibson,2461
8060,10440,Directing,2,Director,Woody Allen,1243
8095,9516,Directing,2,Director,Albert Hughes,11447
8096,9516,Directing,2,Director,Allen Hughes,11448
8110,2320,Directing,2,Director,Stuart Baird,2523
8127,5879,Directing,2,Director,Nagisa Ōshima,46230
8132,83718,Directing,2,Director,Tom Noonan,119232
8143,11971,Directing,2,Director,Kenneth Branagh,11181
8152,2625,Directing,2,Director,Mike Figgis,6111
8162,31911,Directing,2,Director,Anthony Minghella,2239
8198,788,Directing,2,Director,Chris Columbus,10965
8222,21450,Directing,2,Director,Mike Leigh,65452
8225,11231,Directing,2,Director,Christopher Cain,56828
8233,41588,Directing,2,Director,Michael Tolkin,16939
8235,10447,Directing,2,Director,Martin Campbell,10702
8297,31586,Directing,2,Director,Rob Reiner,3026
8318,9300,Directing,1,Director,Sally Potter,57206
8325,9559,Directing,2,Director,Clint Eastwood,190
8342,9800,Directing,2,Director,Jonathan Demme,16294
8375,713,Directing,1,Director,Jane Campion,10757
8382,8291,Directing,2,Director,John Singleton,6482
8394,18133,Directing,2,Director,David S. Ward,12920
8409,25557,Directing,2,Director,Stuart Orme,29482
8430,22588,Directing,2,Director,Mel Smith,141450
8440,10872,Directing,2,Director,Ted Demme,34849
8446,1245,Directing,2,Director,James Ivory,54441
8491,11858,Directing,1,Director,Penny Marshall,14911
8496,7007,Directing,2,Director,Philip Kaufman,648
