,id_movie,name,id
325,9737,Don Simpson/Jerry Bruckheimer Films,10288
326,30765,Warner Bros.,6194
327,10474,New Line Cinema,12
328,10474,Island Pictures,3492
329,22279,Fine Line Features,8
330,22279,BBC,5996
331,22279,British Screen Productions,12745
332,22279,Portman Productions,16027
333,30157,Channel Four Films,181
334,30157,Zenith Entertainment,3644
335,30157,American Playhouse,3906
336,30157,Union Générale Cinématographique (UGC),7248
337,30157,La Sept Cinéma,16366
338,30157,True Fiction Pictures,37909
339,568,Imagine Entertainment,23
340,568,Universal Pictures,33
341,11780,United Artists,60
342,11780,Talisman Productions,8989
343,34996,October Films,236
344,34996,Guild,1214
345,34996,Fastnet Films,5353
346,414,Warner Bros.,6194
347,414,Polygram Filmed Entertainment,31080
348,649,Paris Films Productions,386
349,649,Five Films,387
350,649,Robert et Raymond Hakim,11290
351,1873,Columbia Pictures,5
352,1873,Castle Rock Entertainment,97
353,5894,Miramax Films,14
354,5894,InterAL,30334
355,1775,PolyGram Filmed Entertainment,1382
356,8839,Universal Pictures,33
357,8839,Amblin Entertainment,56
358,8839,The Harvey Entertainment Company,11098
359,20649,Universal Pictures,33
360,20649,40 Acres & A Mule Filmworks,4319
361,10329,Paramount Pictures,4
362,10329,"Kennedy/Marshall Company, The",7383
363,8963,Hollywood Pictures,915
364,8963,Don Simpson/Jerry Bruckheimer Films,10288
365,26564,Superior Pictures,4532
366,8068,Columbia Pictures,5
367,8068,Los Hooligans Productions,11705
368,8512,TriStar Pictures,559
369,8512,Mundy Lane Entertainment,2510
370,1572,Twentieth Century Fox Film Corporation,306
371,1572,Cinergi Pictures Entertainment,1504
372,13552,Why Not Productions,729
373,13552,Desperate Pictures,1474
374,13552,Blurco,2765
375,13552,The Teen Angst Movie Company,18902
376,259209,Touchstone Pictures,9195
377,259209,Merchant Ivory Productions,20740
378,6520,Columbia Pictures Corporation,441
379,6520,First Knight Productions,10158
380,9073,Regency Enterprises,508
381,9073,Alcor Films,644
382,9073,Canal+,5358
383,9073,Donner/Shuler-Donner Productions,5739
384,9073,Warner Bros.,6194
385,10428,United Artists,60
386,10428,Suftley,87394
387,17447,The Booking Office,12909
388,17447,Workin' Man Films,12910
389,9886,TriStar Pictures,559
390,9886,Alliance Communications Corporation,2480
391,9482,Hollywood Pictures,915
392,9482,Cinergi Pictures Entertainment,1504
393,19326,TriStar Pictures,559
394,9344,Miramax Films,14
395,9071,JDI productions,13187
396,9071,Lemon Sky Productions,13190
397,8973,United Artists,60
398,8973,Seraphim Films,3557
399,15730,The Ontario Film Development Corporation,1203
400,15730,First Choice Films,2267
401,15730,Atlantis Films,4350
402,15730,Telefilm Canada,7320
403,15730,Max Films Productions,7828
404,15730,Super Écran,11578
405,15730,Société Générale des Industries Culturelles du Québec (SOGIC),35859
406,47608,Touchstone Pictures,9195
407,2293,Universal Pictures,33
408,2293,Gramercy Pictures,37
409,2293,Alphaville Films,11462
410,2293,View Askew Productions,16934
411,9070,Twentieth Century Fox Film Corporation,306
412,9070,Saban Entertainment,2106
413,9070,Toei Company,9255
414,68274,PolyGram Filmed Entertainment,1382
415,68274,Working Title Films,10163
416,48787,Comet Film Produktion GmbH,16561
417,48787,Avrora Media,38959
418,48787,Cobblestone Pictures,38960
419,34574,Kino Link Company,37897
420,1642,Columbia Pictures,5
421,11472,Twentieth Century Fox Film Corporation,306
422,11472,1492 Pictures,436
423,36196,Party Productions,37890
424,11980,Dimension Films,7405
425,58372,Playhouse International Pictures,2492
426,58372,American Playhouse,3906
427,58372,"Samuel Goldwyn Company, The",28205
428,32646,Killer Films,1422
429,32646,American Playhouse,3906
430,32646,Kardana Films,38692
431,32646,Chemical Films,39861
432,10533,Hollywood Pictures,915
433,10533,Cinergi Pictures Entertainment,1504
434,10802,United Artists,60
435,10802,Le Studio Canal+,183
436,10802,Carolco Pictures,14723
437,10149,Miramax Films,14
438,18402,Spring Creek Productions,705
439,18402,Warner Bros.,6194
440,18402,Hawn / Sylbert Movie Company,16368
441,9348,Metro-Goldwyn-Mayer (MGM),8411
442,139408,Malpaso Productions,171
443,139408,Butcher's Run Films,3864
444,139408,Warner Bros.,6194
445,281,Lightstorm Entertainment,574
446,5967,Beta Film,1080
447,5967,Madeleine Films,1147
448,5967,Parc Film,14680
449,79593,Hollywood Pictures,915
450,79593,PolyGram Filmed Entertainment,1382
451,79593,Interscope Communications,10201
452,47939,Savoy Pictures,11308
453,36834,Société Française de Production (SFP),6849
454,36834,FIT Productions,16026
455,36834,Portman Productions,16027
456,9090,Universal Pictures,33
457,9090,Amblin Entertainment,56
458,3512,Regency Enterprises,508
459,3512,Warner Bros.,6194
460,3512,Seagal/Nasso Productions,17825
461,3512,Victor Company of Japan (JVC),21480
462,3512,Cutting Edge Films,63906
463,52856,Hollywood Pictures,915
464,9560,Twentieth Century Fox Film Corporation,306
465,9560,Zucker Brothers Productions,2851
466,9804,Universal Pictures,33
467,9804,Gordon Company,1073
468,9804,Davis Entertainment,1302
469,9804,Licht/Mueller Film Corporation,6092
470,31611,HBO,6068
471,31611,A BandApart,6911
472,31611,Rysher Entertainment,11661
473,65796,United Artists,60
474,49805,Paramount Pictures,4
475,26258,Twentieth Century Fox Film Corporation,306
476,50797,Canal+,5358
477,50797,Studio Trite,6453
478,50797,Caméra One,6454
479,19155,PolyGram Audiovisuel,6367
480,19155,British Screen Productions,12745
481,76,Detour Film Production,98
482,76,Warner Bros.,6194
483,11017,Jack Giarraputo Productions,6365
484,37141,Spelling Films International,18189
485,9382,Regency Enterprises,508
486,9382,Alcor Films,644
487,9382,Canal+,5358
488,9382,New Regency Pictures,10104
489,9382,Hera Productions,16192
490,6715,Universal Pictures,33
491,6715,Island World,1595
492,18256,Full Moon Entertainment,4867
493,22625,The Rank Organisation,364
494,22625,Bórd Scannán na hÉireann,1898
495,22625,Lantana,4127
496,22625,Price Entertainment,23808
497,2292,Miramax Films,14
498,2292,View Askew Productions,16934
499,1909,New Line Cinema,12
500,1909,American Zoetrope,70
501,8984,Warner Bros.,6194
502,8984,Baltimore Pictures,11407
503,61813,Keystone Pictures,15709
504,61813,Dream Man Productions Inc,52095
505,4954,Paramount Pictures,4
506,62488,Savoy Pictures,11308
507,62488,Rysher Entertainment,11661
508,10531,Fine Line Features,8
509,10531,Channel Four Films,181
510,10531,Capitol Films,826
511,10531,TF1 Films Production,3823
512,10531,Canal+,5358
513,10531,Flach Film,8277
514,10531,Les Films de l'Astre,68141
515,11929,Castle Rock Entertainment,97
516,11929,Columbia Pictures Corporation,441
517,8467,New Line Cinema,12
518,8467,Motion Picture Corporation of America (MPCA),11061
519,10451,Ang Lee Productions,5528
520,10451,Good Machine,10565
521,10451,Central Motion Pictures,25345
522,20156,Miramax Films,14
523,20156,Alliance Entertainment,10166
524,20156,Ego Film Arts,12800
525,18395,Savoy Pictures,11308
526,522,Touchstone Pictures,9195
527,397,Twentieth Century Fox Film Corporation,306
528,397,PolyGram Filmed Entertainment,1382
529,397,Working Title Films,10163
530,397,Prufrock Pictures,34207
531,10525,Columbia Pictures,5
532,10525,Castle Rock Entertainment,97
533,27985,Twentieth Century Fox Film Corporation,306
534,15789,Walt Disney Pictures,2
535,27303,TriStar Pictures,559
536,21183,Metro-Goldwyn-Mayer,21
537,10954,Italian International Film,1429
538,10954,Stéphan Films,2359
539,10954,MG,37581
540,72031,Miramax Films,14
541,14275,Fine Line Features,8
542,14275,Kartemquin Films,13042
543,1024,WingNut Films,11
544,1024,Miramax Films,14
545,1024,New Zealand Film Commission,294
546,1024,Fontana Productions,2306
547,17207,Caravan Pictures,175
548,17207,Hollywood Pictures,915
549,13701,Columbia Pictures,5
550,13701,Majestic Films International,2630
551,13701,Icon Entertainment International,4564
552,14819,Walt Disney Pictures,2
553,14819,Caravan Pictures,175
554,32631,Universal Pictures,33
555,32631,Bregman/Baer Productions,11393
556,11777,Paramount Pictures,4
557,628,Geffen Pictures,360
558,87729,Merchant Ivory Productions,2370
559,87729,Touchstone Pictures,9195
560,18713,Caravan Pictures,175
561,18713,Touchstone Pictures,9195
562,6280,Universal Pictures,33
563,6280,Northern Lights Entertainment,8816
564,9061,Fountainbridge Films,414
565,9061,Warner Bros.,6194
566,9061,Lee Rich Productions,36854
567,37108,Walt Disney Pictures,2
568,37108,Trimark Pictures,4063
569,6071,Twentieth Century Fox Film Corporation,306
570,11,Lucasfilm,1
571,11,Twentieth Century Fox Film Corporation,306
572,9587,Columbia Pictures,5
573,19101,Warner Bros.,6194
574,49980,Channel Four Films,181
575,49980,Parallax Pictures,983
576,17961,MK2 Productions,9209
577,18183,Aviacsa,84803
578,18183,Cinevista,84804
579,4476,Bedford Falls Productions,348
580,4476,TriStar Pictures,559
581,4476,Pangaea,1656
582,11008,Universal Pictures,33
583,47504,Fine Line Features,8
584,47504,New Line Cinema,12
585,47504,Live Entertainment,285
586,32325,Channel Four Films,181
587,32325,Cineville,2832
588,32325,Home Box Office (HBO),3268
589,32325,Showcase Entertaiment Inc.,36836
590,43742,Warner Bros.,6194
591,28313,Paramount Pictures,4
592,11318,Channel Four Films,181
593,11318,Samuel Goldwyn Company,798
594,11318,Close Call Films,23022
595,3036,American Zoetrope,70
596,3036,TriStar Pictures,559
597,40490,Walt Disney Pictures,2
598,24070,TriStar Pictures,559
599,8986,Paramount Pictures,4
600,8986,The Kennedy/Marshall Company,862
601,10510,Twentieth Century Fox Film Corporation,306
602,17402,Hollywood Pictures,915
603,38722,American Zoetrope,70
604,38722,American Playhouse,3906
605,38722,Majestic Films International,20928
606,38722,Newcomb Productions,89873
607,8438,Wolper Organization,2428
608,8438,Warner Bros.,6194
609,11593,Paramount Pictures,4
610,11593,Capella International,594
611,11593,Cinehaus,761
612,1945,Twentieth Century Fox Film Corporation,306
613,1945,Egg Pictures,802
614,1945,PolyGram Filmed Entertainment,1382
615,39310,40 Acres & A Mule Filmworks,4319
616,109560,TOEI,7260
617,109560,Distant Justice Joint Venture,42935
618,56428,Metrodome Films,11139
619,63105,Filmwerks,7954
620,63105,Imperial Entertainment,21437
621,131957,Triumph Films,23098
622,241,Regency Enterprises,508
623,241,Alcor Films,644
624,241,Ixtlan,4198
625,241,Warner Bros.,6194
626,241,New Regency Pictures,10104
627,241,J D Productions,68551
628,9058,TriStar Pictures,559
629,527,Avalon Studios,293
630,527,New Zealand Film Commission,294
631,527,New Zealand On Air,295
632,18220,New Line Cinema,12
633,18220,CineTel Pictures,17067
634,18220,MG Entertainment,17068
635,6950,Kopelson Entertainment,824
636,6950,Punch Productions,2154
637,6950,Warner Bros.,6194
638,6950,Arnold Kopelson Productions,16775
639,101,Columbia Pictures,5
640,101,Gaumont,9
641,63020,"Samuel Goldwyn Company, The",28205
642,2307,Hollywood Pictures,915
643,680,Miramax Films,14
644,680,A Band Apart,59
645,680,Jersey Films,216
646,41478,Polygram Filmed Entertainment,31080
647,41478,Gramercy Pictures (I),31715
648,41478,MVP Films,37580
649,25296,Ang Lee Productions,5528
650,40156,BBC Films,288
651,40156,PolyGram Filmed Entertainment,1382
652,40156,Miramax,53009
653,11450,Wildwood Enterprises,316
654,11450,Hollywood Pictures,915
655,11450,Baltimore Pictures,11407
656,30304,Cecile Company,84839
657,30304,Thousand Cranes Filmworks,84840
658,10452,Renn Productions,82
659,10452,Eurimages,850
660,10452,Canal+,5358
661,10452,ARD/Degeto Film GmbH,6187
662,10452,D.A. Films,6541
663,10452,France2 Cinéma,7089
664,10452,WMG Film,8923
665,10452,Centre National de la Cinématographie (CNC),18367
666,10452,N.E.F. Filmproduktion und Vertriebs GmbH,18495
667,10452,Miramax,53009
668,10452,RCS Films & TV,75913
669,12106,TriStar Pictures,559
670,161495,Hollywood Pictures,915
671,161495,Interscope Communications,10201
672,161495,Nomura Babcock & Brown,12883
673,3586,Miramax Films,14
674,110,Zespół Filmowy TOR,38
675,110,Le Studio Canal+,183
676,110,France 3 Cinéma,591
677,110,Télévision Suisse-Romande,1245
678,108,France 3 Cinéma,591
679,108,CED Productions,1610
680,109,Le Studio Canal+,183
681,109,France 3 Cinéma,591
682,109,Eurimages,850
683,92769,Allegro Films,4899
684,92769,Norstar Entertainment,16953
685,92769,west wind entertainment,24946
686,28033,Paramount Pictures,4
687,22586,Rich Animation Studios,4108
688,14334,Jones Entertainment Group,29272
689,14334,Skerry Productions,29273
690,2636,Jerry Weintraub Productions,2596
691,2636,Warner Bros.,6194
692,2636,Iguana Producciones,11134
693,2164,Centropolis Entertainment,347
694,2164,StudioCanal,694
695,2164,Carolco Entertainment,10320
696,11395,Walt Disney Pictures,2
697,11395,Hollywood Pictures,915
698,278,Castle Rock Entertainment,97
699,278,Warner Bros.,6194
700,9905,Channel Four Films,181
701,9905,Figment Films,359
702,9905,The Glasgow Film Fund,980
703,9905,PolyGram Filmed Entertainment,1382
704,87078,Kino Korsakoff,78701
705,12527,Miramax Films,14
706,12527,Tabasco films,6647
707,12527,Instituto Mexicano de Cinematografía (IMCINE),8861
708,12527,TeleMadrid,10015
709,20306,Cineville,2832
710,20306,Trimark Pictures,4063
711,36614,Samuel Goldwyn Company,798
712,27993,New Line Cinema,12
713,27993,1992 Number Four Limited Partnership,4733
714,27993,MHA,4734
715,31439,Shanghai Film Studios,1078
716,31439,Era International Ltd,25299
717,9067,Trilogy Entertainment Group,2231
718,9059,Universal Pictures,33
719,9059,Tales From The Crypt Holdings,69626
720,193,Paramount Pictures,4
721,25066,40 Acres & A Mule Filmworks,4319
722,25066,Savoy Pictures,11308
723,12122,Universal Pictures,33
724,11381,Paramount Pictures,4
725,32636,Sony Pictures Classics,58
726,36141,Populist Pictures,14729
727,95963,Savoy Pictures,11308
728,95963,Price Entertainment,23808
729,95963,"Jackson/McHenry Company,The",37350
730,1587,Paramount Pictures,4
731,9271,Paramount Pictures,4
732,2064,Caravan Pictures,175
733,2064,Hollywood Pictures,915
734,19855,Universal Pictures,33
735,60855,Fine Line Features,8
736,60855,Téléfilm Canada,806
737,60855,First Generation Films,4908
738,60855,National Film Board of Canada (NFB),17027
739,60855,British Columbia Film Commission,36024
740,236,Ciby 2000,105
741,236,Film Victoria,11840
742,236,House & Moorhouse Films,39250
743,48287,Columbia Pictures Corporation,441
744,48287,Beacon Pictures,10157
745,3049,Warner Bros.,6194
746,3049,Morgan Creek Productions,10210
747,2759,PolyGram Filmed Entertainment,1382
748,12635,Gramercy Pictures,37
749,10497,Fine Line Features,8
750,10497,R.P. Productions,355
751,10497,Columbia Pictures Corporation,441
752,10497,Les Films Alain Sarde,635
753,10497,Canal+,5358
754,10497,Timothy Burrill Productions,8131
755,11382,Miramax Films,14
756,9331,Paramount Pictures,4
757,9331,Mace Neufeld Productions,2767
758,10731,Regency Enterprises,508
759,10731,Alcor Films,644
760,10731,Warner Bros.,6194
761,10464,New Line Cinema,12
762,34152,Universal Pictures,33
763,34152,40 Acres & A Mule Filmworks,4319
764,9495,Miramax Films,14
765,9495,Crowvision Inc.,4028
766,9495,Entertainment Media Investment Corporation,4029
767,9495,Jeff Most Productions,4030
768,9495,Edward R. Pressman Film,6455
769,29973,Regency Enterprises,508
770,29973,Alcor Films,644
771,29973,Warner Bros.,6194
772,29973,Aleor Films,16823
773,888,Universal Pictures,33
774,888,Amblin Entertainment,56
775,888,Hanna-Barbera Productions,1353
776,13,Paramount Pictures,4
777,712,Channel Four Films,181
778,712,PolyGram Filmed Entertainment,1382
779,712,Working Title Films,10163
780,16295,Columbia Pictures Corporation,441
781,16295,New Deal Productions,1947
782,48992,Columbia Pictures Corporation,441
783,48992,Think Again Productions,37294
784,48992,Riot of Color,37295
785,10879,Caravan Pictures,175
786,10879,Touchstone Pictures,9195
787,10660,TriStar Pictures,559
788,41647,Channel Four Films,181
789,41647,Arte,201
790,41647,Zweites Deutsches Fernsehen (ZDF),4606
791,41647,Nomad Films,12914
792,41647,Omega Film GmbH,12915
793,41647,Without Walls,12916
794,8587,Walt Disney Pictures,2
795,8587,Walt Disney Feature Animation,10217
796,1689,Miramax Films,14
797,11596,New Line Cinema,12
798,854,New Line Cinema,12
799,854,Dark Horse Entertainment,552
800,9359,Icon Entertainment International,4564
801,9359,Warner Bros.,6194
802,23333,Fine Line Features,8
803,23333,Miramax Films,14
804,36593,Paramount Pictures,4
805,12280,Imagine Entertainment,23
806,12280,Universal Pictures,33
807,2788,Universal Pictures,33
808,2788,Jersey Films,216
809,10427,Propaganda Films,278
810,10427,PolyGram Filmed Entertainment,1382
811,11011,Davis Entertainment,1302
812,11011,Silver Pictures,1885
813,11011,Warner Bros.,6194
814,49803,New Line Cinema,12
815,8987,Universal Pictures,33
816,8987,David Foster Productions,496
817,8987,Turman-Foster Company,662
